flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 11:00:08 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:00:24 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:00:41 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:00:58 desktop pet action=running ticks=18 loop=true
2026/06/25 11:01:13 desktop pet action=review ticks=18 loop=true
2026/06/25 11:01:28 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:01:43 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:01:58 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:02:14 desktop pet action=running ticks=18 loop=true
2026/06/25 11:02:30 desktop pet action=review ticks=18 loop=true
2026/06/25 11:02:46 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:03:02 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:03:19 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:03:36 desktop pet action=running ticks=18 loop=true
2026/06/25 11:03:53 desktop pet action=review ticks=18 loop=true
2026/06/25 11:04:08 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:04:23 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:04:38 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:04:53 desktop pet action=running ticks=18 loop=true
2026/06/25 11:05:09 desktop pet action=review ticks=18 loop=true
2026/06/25 11:05:25 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:05:41 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:05:58 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:06:15 desktop pet action=running ticks=18 loop=true
2026/06/25 11:06:32 desktop pet action=review ticks=18 loop=true
